	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_1	TE_20210719.3.ser\n54_dB_-_100_mM_acetone_w_20_%_naphthalene_in_CDCl3_2	
0.560907	13.5215	27.1462	
0.562811	17.7334	56.3763	
0.564715	21.9443	85.6063	
0.566619	6.08496	69.1038	
0.568523	-9.77441	52.6012	
0.570427	8.77246	105.129	
0.572331	27.3203	157.657	
0.574235	-5.74219	127.348	
0.576139	-38.8057	97.0395	
0.578043	31.3525	58.1021	
0.579946	101.511	19.1646	
0.58185	173.103	55.2977	
0.583754	244.694	-46.63	
0.585658	167.189	-48.4636	
0.587562	89.6836	32.5392	
0.589466	96.4033	-42.5853	
0.59137	103.124	-117.71	
0.593274	135.649	-91.0143	
0.595178	168.175	-64.319	
0.597081	169.16	15.012	
0.598985	32.5176	94.343	
0.600889	85.1133	77.0314	
0.602793	137.71	59.7199	
0.604697	103.571	69.5891	
0.606601	207.062	79.4583	
0.608505	238.87	89.3275	
0.610409	133.051	99.1967	
0.612313	18.6289	90.0825	
0.614217	41.8359	80.9683	
0.61612	13.4326	144.336	
0.618024	-14.9717	69.6431	
0.619928	5.12207	158.25	
0.621832	25.2148	164.021	
0.623736	79.7148	138.727	
0.62564	134.216	113.434	
0.627544	103.057	139.051	
0.629448	71.8975	164.668	
0.631352	23.5352	109.174	
0.633256	-24.8281	53.6797	
0.635159	38.0947	-66.9616	
0.637063	101.018	60.9064	
0.638967	97.9941	85.2288	
0.640871	94.9697	-28.5095	
0.642775	129.579	2.71594	
0.644679	26.5586	33.9414	
0.646583	0.955078	56.538	
0.648487	-24.6484	79.1347	
0.650391	-33.5859	51.2529	
0.652295	-42.5244	23.3711	
0.654198	5.88281	-4.51068	
0.656102	54.291	-32.3925	
0.658006	55.7471	-5.04999	
0.65991	57.2031	22.2925	
0.661814	75.8623	96.2305	
0.663718	94.5215	170.169	
0.665622	53.8652	68.7263	
0.667526	13.208	50.1204	
0.66943	29.8965	81.5616	
0.671334	46.585	30.1663	
0.673237	66.499	-18.6403	
0.675141	86.4131	70.6138	
0.677045	48.9814	123.627	
0.678949	11.5508	93.8036	
0.680853	23.5293	47.1003	
0.682757	35.5078	0.396973	
0.684661	90.4951	45.1588	
0.686565	145.483	89.9207	
0.688469	52.0898	25.0969	
0.690372	96.3252	-39.7269	
0.692276	97.5518	-35.5204	
0.69418	98.7783	-31.3138	
0.696084	79.7539	25.3126	
0.697988	60.7305	81.9391	
0.699892	41.707	41.923	
0.701796	22.6836	1.90698	
0.7037	14.4121	14.5266	
0.705604	6.14062	27.1462	
0.707508	-79.5469	39.7658	
