#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(1.986,1.300)	B+F*exp(-x*G) B= 1.71596e+06 F= -3.07771e+06 G= 0.0739302	
1	0.100	-1474378.648	-1339074.938	
2	0.500	-1187952.618	-1250053.886	
3	1.000	-1108013.286	-1142416.468	
4	2.000	-907111.556	-938718.443	
5	3.000	-727368.308	-749536.655	
6	5.000	-395237.891	-410657.597	
7	7.000	-119744.562	-118356.969	
8	10.000	233777.004	246520.046	
9	20.000	993937.114	1014381.011	
10	30.000	1367453.810	1380993.849	
11	50.000	1633540.117	1639603.442	
12	70.000	1702799.614	1698554.932	
13	100.000	1719952.733	1714066.651	
14	200.000	1729611.363	1715959.912	
