#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(7.835,6.746)	B+F*exp(-x*G) B= 3.65087e+07 F= -6.44589e+07 G= 0.0574918	
1	0.100	-27483188.744	-27580711.560	
2	0.500	-26168341.678	-26123682.838	
3	1.000	-24443313.825	-24348889.705	
4	2.000	-20989440.089	-20948753.535	
5	3.000	-17745089.532	-17738584.259	
6	5.000	-11805795.499	-11846285.282	
7	7.000	-6559767.833	-6594003.444	
8	10.000	296924.317	234370.418	
9	20.000	16102763.197	16095283.527	
10	30.000	24974635.250	25021027.443	
11	50.000	32789140.126	32870679.935	
12	70.000	35314276.966	35356575.640	
13	100.000	36337060.773	36303366.322	
14	200.000	36588568.219	36508038.983	
