	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_1	TE_20210720.3.ser\n54_dB_-_100_mM_TCE_w_20_%_naphthalene_in_CDCl3_2	
4.59146	23.9082	-40.2292	
4.59336	5.55469	48.7621	
4.59527	25.8301	36.1498	
4.59717	46.1055	23.5376	
4.59907	66.3809	-22.9425	
4.60098	86.6582	-69.4226	
4.60288	72.5957	-69.3344	
4.60479	58.5352	21.0681	
4.60669	78.8105	-78.5657	
4.60859	99.0859	-27.6758	
4.6105	57.752	55.0829	
4.6124	16.418	-12.6822	
4.61431	-24.916	-3.30386	
4.61621	-66.25	6.07449	
4.61811	-6.00391	-23.5893	
4.62002	54.2422	37.0612	
4.62192	-11.4141	-3.89185	
4.62383	-77.0684	-44.8449	
4.62573	-51.875	27.0949	
4.62763	-26.6816	8.7204	
4.62954	-1.48828	-54.8112	
4.63144	23.707	-28.0285	
4.63334	12.418	-10.6537	
4.63525	1.12695	6.72125	
4.63715	-10.1621	-105.731	
4.63906	-21.4512	-218.182	
4.64096	14.7188	-163.088	
4.64286	50.8906	-107.994	
4.64477	87.0605	-103.702	
4.64667	123.23	-99.4097	
4.64858	67.834	-35.8487	
4.65048	12.4395	-62.602	
4.65238	14.2734	-102.526	
4.65429	16.1055	-52.1358	
4.65619	61.5762	41.2947	
4.6581	107.045	-76.008	
4.66	26.6133	-204.6	
4.6619	-53.8203	-182.668	
4.66381	-39.1113	-84.0633	
4.66571	-24.4004	-75.7728	
4.66762	24.6445	-29.8513	
4.66952	73.6914	16.0702	
4.67142	75.8379	-44.9625	
4.67333	77.9844	-105.995	
4.67523	157.389	-61.6612	
4.67713	99.4453	-17.3272	
4.67904	124.482	-11.0946	
4.68094	149.52	-4.862	
4.68285	108.744	-43.7865	
4.68475	67.9687	-82.711	
4.68665	56.166	-34.8492	
4.68856	44.3613	13.0127	
4.69046	32.5586	15.7174	
4.69237	20.7559	18.4221	
4.69427	59.7422	3.72253	
4.69617	98.7285	-10.977	
4.69808	57.5957	-40.729	
4.69998	16.4629	19.8333	
4.70189	89.6523	84.3351	
