#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(5.367,5.003)	B+F*exp(-x*G) B= 658809 F= -1.16803e+06 G= 0.0281199	Integral(7.809,6.659)	B+F*exp(-x*G) B= 3.95176e+07 F= -6.94962e+07 G= 0.0526441	
1	0.100	-518268.449	-505942.048	-28968906.177	-29613679.961	
2	0.500	-476602.132	-492914.362	-28447002.605	-28173158.592	
3	1.000	-481233.514	-476834.474	-26608621.018	-26414644.460	
4	2.000	-444495.195	-445345.065	-23183279.854	-23033480.833	
5	3.000	-423529.520	-414728.803	-19946207.746	-19825711.387	
6	5.000	-355817.999	-356019.545	-13921713.480	-13895242.770	
7	7.000	-301298.330	-300520.960	-8560215.706	-8557435.019	
8	10.000	-215111.629	-222911.640	-1466916.777	-1534037.375	
9	20.000	-447.239	-6782.361	15337927.275	15268251.918	
10	30.000	158789.172	156368.830	25236543.157	25193423.819	
11	50.000	366977.772	372498.194	34486890.261	34519455.073	
12	70.000	490251.409	495657.453	37733196.212	37773593.516	
13	100.000	585052.219	588627.662	39132628.054	39158134.367	
14	200.000	659093.406	654592.016	39530157.849	39515740.122	
15	300.000	662053.742	658555.488	39536630.878	39517589.818	
16	500.000	657694.615	658807.942	39525287.349	39517599.435	
